"gene_id","lr","df","pvalue","adj_pvalue"
"FBgn0000382",0.152130665699588,1,0.696507476928661,0.999210074482202
"FBgn0004654",0.379542997965473,1,0.537847917608359,0.951936284289483
"FBgn0040899",8.21706367371371,1,0.00414982945418441,0.0785912479566528
"FBgn0040392",2.37359577378561,1,0.12340251735032,0.606076775034611
"FBgn0023526",0.0321115055976406,1,0.85778314897534,0.999210074482202
"FBgn0023529",0.00145468396658543,1,0.969575804422601,0.999210074482202
"FBgn0027296",0.120577359096842,1,0.728409138775391,0.999210074482202
"FBgn0029608",0.373701613267542,1,0.540993453174252,0.952927455347202
"FBgn0001330",0.0975686317833606,1,0.754767113593108,0.999210074482202
"FBgn0004397",4.17549479700574,1,0.0410125855159109,0.339503874894447
"FBgn0004655",0.518083888141518,1,0.471660187178722,0.923703796758718
"FBgn0004861",1.68083452495739,1,0.194813600683931,0.732326647362641
"FBgn0004860",0.319372198412566,1,0.571985175163632,0.958274945557066
"FBgn0004050",0.249204388272119,1,0.617635850043375,0.975445677831085
"FBgn0001404",0.232608146943676,1,0.629596634368838,0.978473271232946
"FBgn0040334",NA,1,NA,NA
"FBgn0040388",0.0045837981015211,1,0.946021462111308,0.999210074482202
"FBgn0003371",0.0714480290334905,1,0.789240002706158,0.999210074482202
"FBgn0024991",1.84112246173618,2,0.398295442648178,0.889154667155202
"FBgn0040384",0.936228771706737,2,0.62618189321066,0.978473271232946
"FBgn0250874",2.22283459989558,1,0.135983190734324,0.639386761644942
"FBgn0040396",4.39841915325815,1,0.0359722606500667,0.318067689630001
"FBgn0000479",5.6738630648174,3,0.128601691634406,0.617758874789565
"FBgn0262656",0.43674188816658,1,0.508699213742224,0.947362421504874
"FBgn0029662",1.1556553129376,1,0.282368416101819,0.803929190766308
"FBgn0028746",1.59910590899426,1,0.206029962487355,0.745374062281946
"FBgn0028369",0.0330117399319079,1,0.855824969226391,0.999210074482202
"FBgn0015286",0.631332574223052,1,0.42686693789514,0.89822510911317
"FBgn0029672",4.0397229415812,1,0.04444111721061,0.355993438187465
"FBgn0283657",1.69660524300343,1,0.192732536367666,0.729251418733225
"FBgn0029676",30.8639247429892,1,2.7676908034416e-08,3.80491588073138e-06
"FBgn0000542",1.69163593490521,2,0.429206137935656,0.901176814705628
"FBgn0029686",0.0130191457933506,1,0.909157355773532,0.999210074482202
"FBgn0029687",18.1958705169964,2,0.000111896607707605,0.00482157472316204
"FBgn0029688",0.146351875053369,1,0.702046303351769,0.999210074482202
"FBgn0029685",0.862537039031395,1,0.353029691865942,0.861051267564286
