"gene_id","feature_id","lr","df","pvalue","adj_pvalue"
"FBgn0010309","FBtr0302561",1.44125147785826,1,0.22993693146456,0.822861441771421
"FBgn0032783","FBtr0081207",3.17130707364595,1,0.074942448289944,0.531580571464602
"FBgn0032783","FBtr0081209",0.811959771153397,1,0.367541477403981,0.916946048894804
"FBgn0032783","FBtr0334176",-0.164935957422585,1,1,1
"FBgn0041789","FBtr0081210",2.54522971209371,1,0.110627820236842,0.650155645109192
"FBgn0041789","FBtr0081213",0.180881834654429,1,0.670616498549066,1
"FBgn0041789","FBtr0081214",3.75924873340409,1,0.0525161691907939,0.44552770719007
"FBgn0032775","FBtr0081216",-0.00274870448811271,1,1,1
"FBgn0032775","FBtr0081217",0.861391417996856,1,0.353349605915324,0.908137863334972
"FBgn0032775","FBtr0300822",0.373620108445721,1,0.541037581265141,0.980410698131378
"FBgn0032774","FBtr0081219",1.53655749685277,1,0.215130943065471,0.812852167538205
"FBgn0032774","FBtr0081220",0.227576556477288,1,0.633326626717208,1
"FBgn0032774","FBtr0300823",3.90418445280375,1,0.0481659997834375,0.432530678055269
"FBgn0032773","FBtr0081222",1.1851492614785,1,0.276310195899703,0.849434895609221
"FBgn0032773","FBtr0301287",1.1851492614785,1,0.276310195899703,0.849434895609221
"FBgn0032785","FBtr0081236",0.165605235431485,1,0.684047479503129,1
"FBgn0032785","FBtr0332317",0.165605235431485,1,0.684047479503129,1
"FBgn0002044","FBtr0081244",8.0691356806492,1,0.00450255889484245,0.102795709005979
"FBgn0002044","FBtr0081245",1.25831445589938,1,0.261970382372596,0.845339237665791
"FBgn0002044","FBtr0331325",0.130549115510803,1,0.717863375250135,1
"FBgn0032812","FBtr0081263",0.315408344564275,1,0.574380217020084,0.992308396614136
"FBgn0032812","FBtr0331245",0.315408344564275,1,0.574380217020084,0.992308396614136
"FBgn0005672","FBtr0081267",1.00714322693239,1,0.315588207470966,0.883628828297112
"FBgn0005672","FBtr0081268",1.00714322693239,1,0.315588207470966,0.883628828297112
"FBgn0032801","FBtr0081277",2.08432235140344,1,0.148818249006527,0.730182720424297
"FBgn0032801","FBtr0303779",1.03100781827516,1,0.309922077651401,0.879985325877819
